Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
18903409,"Weekend Warriors (Sisterhood, #1)",Fern Michaels,"Michaels, Fern",,,,0,4.05,Zebra Books,Kindle Edition,331,2013,2001,,25/05/21,to-read,to-read (#434),to-read,,,,0,,,0,,,,,
12868761,Let's Pretend This Never Happened: A Mostly True Memoir,Jenny  Lawson,"Lawson, Jenny",,0399159010,9780399159015,0,3.87,Amy Einhorn: Putnam,Hardcover,318,2012,2012,,25/05/21,to-read,to-read (#433),to-read,,,,0,,,0,,,,,
15507958,"Me Before You (Me Before You, #1)",Jojo Moyes,"Moyes, Jojo",,0670026603,9780670026609,0,4.25,Pamela Dorman Books/Viking,Hardcover,369,2012,2012,,25/05/21,to-read,to-read (#432),to-read,,,,0,,,0,,,,,
46016436,"The Thursday Murder Club (Thursday Murder Club, #1)",Richard Osman,"Osman, Richard",,0241425441,9780241425442,0,4,Penguin Viking,Hardcover,377,2020,2020,,25/05/21,to-read,to-read (#431),to-read,,,,0,,,0,,,,,
4102763,Paths of Glory,Jeffrey Archer,"Archer, Jeffrey",,0312539517,9780312539511,4,3.96,St Martins Pr,Hardcover,363,2009,2009,11/07/18,06/07/18,,,read,,,,1,,Mrigya Fogat,0,,,,,
14096,"Wherever You Go, There You Are: Mindfulness Meditation in Everyday Life",Jon Kabat-Zinn,"Kabat-Zinn, Jon",,1401307787,9781401307783,0,4.1,Hachette Books,Paperback,304,2005,1994,,23/05/21,to-read,to-read (#430),to-read,,,,0,,,0,,,,,
25234783,Unposted Letter,Mahatria Ra,"Ra, Mahatria",,8190381601,9788190381604,0,4.39,Manjul,Hardcover,220,2009,2009,,21/05/21,to-read,to-read (#429),to-read,,,,0,,,0,,,,,
6514,The Bell Jar,Sylvia Plath,"Plath, Sylvia",,,,0,4.02,Harper Perennial Modern Classics,Paperback,294,2006,1963,,14/05/21,to-read,to-read (#428),to-read,,,,0,,,0,,,,,
29246677,Price Action Breakdown: Exclusive Price Action Trading Approach to Financial Markets,Laurentiu Damir,"Damir, Laurentiu",,,,0,4.24,Laurentiu Damir,Kindle Edition,77,2016,,,13/05/21,currently-reading,currently-reading (#6),currently-reading,,,,1,,,0,,,,,
40532207,Advanced Techniques in Day Trading: A Practical Guide to High Probability Day Trading Strategies and Methods,Andrew Aziz,"Aziz, Andrew",,,,0,4.27,,Kindle Edition,353,2018,,,13/05/21,currently-reading,currently-reading (#5),currently-reading,,,,1,,,0,,,,,
4230569,Collected Maxims and Other Reflections,François de La Rochefoucauld,"Rochefoucauld, François de La",,0199540004,9780199540006,0,4.05,Oxford University Press,Paperback,400,2008,1665,,13/05/21,to-read,to-read (#427),to-read,,,,0,,,0,,,,,
7144,Crime and Punishment,Fyodor Dostoyevsky,"Dostoyevsky, Fyodor",,0143058142,9780143058144,0,4.23,Penguin,Paperback,671,2002,1866,,27/12/20,currently-reading,currently-reading (#3),currently-reading,,,,1,,,0,,,,,
31808862,"How to Day Trade for a Living: A Beginner's Guide to Trading Tools and Tactics, Money Management, Discipline and Trading Psychology",Andrew Aziz,"Aziz, Andrew",,1535585951,9781535585958,5,4.09,Createspace Independent Publishing Platform,Paperback,362,2016,2016,09/05/21,25/04/21,,,read,"Let me say it out first: this book won't make you a successful day-trader. But this book will prepare you for your journey towards learning more about day-trading. If day-trading is a universe you are looking to explore then, definitely this book is one of the places you won't regret visiting. Once you are here, you'll realize the divergence in the mindset of a trader and an investor. Novices to technical analysis will find themselves a bit lost however since for the purposes of brevity this book won't explain what is MACD? or what is ATR? or what is RSI? Andrew would leave you on your own to figure that out. I would recommend that you make yourself aware of the nuances of technical analysis before you begin reading this book. <br/><br/>I'm sharing my notes from this book here, you may now stop reading this review if you don't want the spoilers. However go ahead if you'd like a gist of what this book talks about:<br/><br/><b>Risk Management</b><br/><br/>Success in day trading comes from risk management - finding low-risk entries with a high potential reward. The minimum win:lose ratio for me is 2:1.”<br/><br/><b>You must avoid stocks that:</b> <br/><br/>(1) are heavily traded by computers and institutional traders, <br/>(2) have small relative trading volume, <br/>(3) are penny stocks and are therefore highly manipulated, and <br/>(4) don’t have any reason to move (no fundamental catalysts).<br/><br/><b>Three-Step Risk Management</b><br/> <br/>Step 1: Determine your maximum dollar risk for the trade you’re planning (never more than 2% of your account). Calculate this before your trading day starts.<br/><br/>Step 2: Estimate your maximum risk per share, the strategy stop loss, in dollars, from your entry. This comes from the strategies set out in Chapter 7, where I explain in each strategy what the stop loss should be.<br/><br/>Step 3: Divide “1” by “2” to find the absolute maximum number of shares you are allowed to trade each time.<br/><br/>For Example:<br/><br/>Step 1: Let's say my trading capital is Rs 1,00,000. Accordingly, the 2% rule will limit my risk on any trade to Rs 2,000. <br/><br/>Step 2: Using my strategy I can estimate the maximum risk per share. This number is calculated as Buy Price - Stop Loss. Assuming that this number is Rs 20 for my example.<br/><br/>Step 3: Rs 2,000 / Rs 20 = 100 shares. I can safely trade 100 shares in this case.<br/><br/>“Remember, you can always risk less, but you are not allowed to risk more than 2% of your account under any circumstance.”<br/><br/>“Trading needs practice and I strongly recommend that new traders paper trade under supervision for at least three months in a live simulated account.”<br/><br/>“A key reason why many traders fail is that they take negative events and losses in trading personally. Their confidence and peace of mind are connected to their trading results. When traders do well, they feel good. When they encounter losses, they become discouraged, doubtful, and frustrated, questioning themselves, their strategy, and their career. Instead of dealing directly and constructively with their losses, they react to the emotions triggered by personalizing the events.”<br/><br/>“Successful traders are those who trade for skill and not for the money. Almost all professional traders hide their unrealized Profit and Loss (P&L) column while in a trade. They have no interest in seeing how much they are up or down. They focus on the perfect execution of a profit target or a stop loss level. Consistently profitable traders take every negative or positive trade they make as an opportunity to improve themselves.”<br/><br/>Note: LEARN HOW NOT TO TAKE THINGS PERSONALLY.<br/><br/>Physical and Mental Health are important. Eat well balanced nutritional meals, exercise, maintain body weight, fitness levels, get adequate rest.<br/><br/>“One of the fundamentals you must learn from this book is that every day trading strategy comes with a stop loss level and you must stop out from stocks that trade against your strategy.”<br/><br/>“Many traders think a good trading day is a positive day. Wrong. A good trading day is a day that you were disciplined, traded sound strategies, and did not violate any trading rules. ”<br/><br/><b>How to Find Stock for Trades</b><br/><br/>""You are only as good as the stocks you trade.""<br/><br/><b>Stocks in Play</b><br/><br/>	• A stock with fresh news<br/>	• A stock that is up or down more than 2% before the market Open<br/>	• A stock that has unusual pre-market trading activity<br/>	• A stock that develops important intraday levels which we can trade-off from<br/><br/><b>Fundamental Catalysts</b><br/><br/>	• Earnings reports<br/>	• Earnings warnings/pre-announcements<br/>	• Earnings surprises<br/>	• FDA approvals/disapprovals<br/>	• Mergers/acquisitions<br/>	• Alliances/partnerships/major product releases<br/>	• Major contract wins/losses<br/>	• Restructurings/layoffs/management changes<br/>	• Stock splits/buybacks/debt offerings<br/><br/><b>Float and Market Cap</b><br/><br/>“Trading low float stocks is very difficult for the new trader. It is difficult to read the direction of their next move and therefore they are very difficult to manage your risk while trading them. I discourage new traders from trading low float stocks. When the new trader is wrong, the loss is such that it wipes out many gains.""<br/><br/>“The second category is medium float stocks in the range of $10-$100. These stocks have medium floats of around 10 million to 500 million shares. Many of my strategies explained in this book work well on these stocks, especially the VWAP and Support or Resistance Strategies. Medium float stocks that are more expensive than $100 are not popular among retail day traders and I myself avoid them. You usually cannot buy many shares of them because of their high price. Therefore, it is basically useless to day trade them. Leave them for the institutional traders.”<br/><br/>“The third category of stocks for trading is mega cap stocks like Apple, Alibaba, Yahoo, Microsoft and Home Depot. These are well-established companies that usually have over $500 million in public shares available for trading. These stocks are traded in millions of shares every day. As you may guess, these stocks move only when large institutional traders, investment banks, and hedge funds are buying or selling large positions. Retail traders like us, who typically trade 100 to 1,000 shares, usually cannot move the price of these stocks. Retail traders should avoid these stocks unless there is a good fundamental catalyst for them. From the strategies set forth in Chapter 7, Reversals and Moving Average Strategies usually work well on these stocks. Do not forget though, unless there is a fundamental catalyst, these stocks are being heavily traded by computers and high-frequency traders and are not suitable for retail day trading.”<br/><br/><b>Pre-Market Gappers</b><br/><br/>	• Stocks that in the pre-market gapped up or down at least 2%<br/>	• Stocks that have traded at least 50,000 shares in the pre-market<br/>	• Stocks that have an average daily volume of over 500,000 shares<br/>	• Stocks that have Average True Range of at least 50 cents (how large of a range a stock has on average every day)<br/>	• There is a fundamental catalyst for the stock<br/>	• As a rule, I do not trade stocks with an enormous short interest higher than 30% (the short interest is the quantity of stock shares that investors or traders have sold short but not yet covered or closed out)<br/><br/>“A high short interest indicates traders or investors think a stock’s price is likely to fall. But the challenge with high short interest is that these stocks are more prone to a short squeeze by bullish investors and traders. A short squeeze occurs when short sellers panic and are scrambling to return their borrowed shares, forcing prices to increase quickly and dangerously. You do not want to be stuck short in a short squeeze.”<br/><br/><b>Real-Time Intraday Scans</b><br/><br/>	• Have gapped up or down at least $1<br/>	• Have ATR of more than 50 cents<br/>	• Have average relative volume of at least 1.5 (the stock is trading at 1.5 times its normal volume)<br/>	• Have average daily trading volume of at least 500,000 shares<br/><br/>“I will also take a look at the sector of stocks. If I have a few stocks in one sector, there is a good chance that these stocks are not in play. They have high relative volume because their sector is under heavy trading by institutional traders. It is important to know that stocks usually trade with their sector. For example, when oil stocks are selling off, almost all of the oil companies sell off. Therefore, it is important to recognize Stocks in Play from the herd. Remember, you are only as good as the stock you trade, so if you are the best trader in the world, but in a wrong stock, you will lose money.”<br/><br/><b>Indicators on my Charts</b><br/><br/>	1. Price action in the form of candlesticks<br/>	2. Volume of shares being traded<br/>	3. 9 Exponential Moving Average (9 EMA)<br/>	4. 20 Exponential Moving Average (20 EMA)<br/>	5. 50 Simple Moving Average (50 SMA)<br/>	6. 200 Simple Moving Average (200 SMA)<br/>	7. Volume Weighted Average Price (VWAP)<br/>	8. Previous day’s closing price<br/>	9. Daily levels of support or resistance<br/><br/>I keep the color of all my moving average indicators in grey except VWAP which is colored in blue. VWAP is the most important day trading indicator and needs to be easily and quickly distinguished from other moving averages. I don’t want to have a lot of colors on my charts so I maintain a white background with mostly red and black coloring.<br/><br/>Market Orders<br/> <br/>“Buy me at any price! Now!”<br/>“Sell me at any price! Now!”<br/><br/>Limit Orders<br/> <br/>“Buy me at this price only! Not higher!”<br/>“Sell me at this price only! Not lower!”<br/><br/>Marketable Limit Orders<br/><br/>“Buy me now, but up to this price! Not higher!”<br/>“Sell me now, but down to this price! Not lower!”<br/><br/>Learn Hotkeys!<br/><br/>Check out: Trade2Win dot com and https://www.elitetrader.com/et/<br/><br/><b>Candlesticks</b> <br/><br/>Green candles indicate buying pressure. Red candles indicate selling pressure. There are three types of people in the market: a) Buyers b) Sellers and c) Undecided.<br/><br/>Bid-ask spread is the difference between what buyers are ready to pay for a stock and what sellers are willing to accept for the same stock.<br/><br/>The goal of successful day trading is to identify whether buyers are in control or whether sellers are in control, and then make a calculated move, at the appropriate time, quickly and stealthily. <br/><br/>Price action means reading the candlesticks to generate an opinion on the general attitude for the stock. <br/><br/>Must know candlesticks:<br/><br/>	a) Bullish Candlesticks<br/>	b) Bearish Candlesticks<br/>	c) Indecision Candlesticks: <br/>		a. Spinning Top <br/>		b. Doji<br/>			i. Simple<br/>			ii. Shooting Star: Seller's may take control<br/>			iii. Hammer: Buyer's may take control<br/><br/><b>Trading Strategies</b><br/><br/>Based on: <br/><br/>	a) Price Action<br/>	b) Technical Indicators<br/>	c) Candlesticks and Chart Patterns<br/><br/>The author prefers to trade on 5-min charts, and also monitors 1-minute charts.<br/><br/>You must master only a few solid setups to be consistently profitable. Simple trading methods reduce confusion and stress and allow you to concentrate on the psychological aspect of trading.<br/><br/><b>Trade Management:</b><br/><br/>For $10-$50 price range, the author prefers to have a trade size of 800 shares<br/><br/>	1. I buy 400 shares.<br/>	2. If trade goes in my favor, I add another 400 shares (note that I add into my winning position, not into losing one).<br/>	3. I sell 400 shares in the first target, bringing my stop loss to break-even (my entry point).<br/>	4. I sell another 200 shares in the next target point.<br/>	5. I usually keep the last 200 shares until I am stopped out. I always retain some shares in case the prices keep moving in my favor.<br/><br/>For $50-$100 price range, the author reduces the trade size to 400 shares.<br/><br/>Also, you can enter a trade small, with say 100 shares and then add to your position in various steps.<br/><br/>Never average down losing positions. When something is selling off, you really do not know if it will be a massive bear market until you see the charts. And sadly, you cannot see the charts until it is too late, not until after the sell off is finished.<br/><br/>Strategy 1: ABCD Pattern<br/><br/>Strategy 2: Bull Flag Momentum<br/><br/>Strategy 3 & 4: Reversal Trading<br/><br/>Strategy 5: Moving Average Trend Trading<br/><br/>Strategy 6: VWAP Trading<br/><br/>Strategy 7: Support or Resistance Trading<br/><br/>Strategy 8: Red-to-Green Trading<br/><br/>Strategy 9: Open Range Breakout<br/><br/>Remember that the market is always going to be there, you don't need to rush this.<br/><br/><b>Trading Strategy Based on the Time of Day</b><br/><br/>Open: first 1.5 hours<br/><br/>	• Bull Flag Momentum and VWAP trades tend to be the best strategies for open.<br/><br/>Mid-day:<br/><br/>	• Market is slow. Worst time of day to trade. There is less volume and liquidity.<br/>	• Reversal, VWAP, Moving Average, and Support or Resistance trades tend to be the best strategies for the Mid-day.<br/>	• Never trade Bull Flag Momentum in Mid-day or at close.<br/><br/>Close: last 1 hour<br/><br/>	• Stocks are more directional, so I stick with those that are trending up or down in the last hour of the trading day.<br/>	• VWAP, Support or Resistance, and Moving Average trades tend to be the best strategies for the close.<br/><br/>You are not allowed to lose more than 30% of what you have made in the Open during Mid-day and the Close.<br/><br/><b>Step-by-Step to a Successful Trade</b><br/><br/>	1. Morning Routine: Waking up on early, physical workout (like running), good breakfast.<br/>	2. Build a Watchlist.<br/>	3. Organize a Trade Plan. (entry, exit, and stop loss)<br/>	4. Initiate the Trade according to the Trade Plan.<br/>	5. Execute the Trade according to the Trade Plan.<br/>	6. Journaling and Reflection.<br/><br/><b>Question you must ask:</b><br/><br/>	• Who is in control of the price: the buyers or the sellers?<br/>	• What technical levels are most important?<br/>	• Is the stock stronger or weaker than the market?<br/>	• Where is most of the volume being traded? At the VWAP? Or the first five minutes? Or near moving averages?<br/>	• How much volume at a price causes the stock to move up or down?<br/>	• What is the bid-ask spread? Is it tradeable?<br/>	• How quickly does the stock move? Is it being traded smoothly or is it choppy, jumping up and down with every trade?<br/>	• Is the stock trading in a particular pattern on a 5-minute chart? How is the stock being traded on a 1-minute chart?<br/><br/>All of this information should be gathered before you make any trade.<br/><br/>Trading teaches you a lot about yourself, about your mental weaknesses, and about your strengths.",,,1,,,0,,,,,
55502881,Songs in Ursa Major,Emma Brodie,"Brodie, Emma",,0593318625,9780593318621,0,3.99,Knopf Publishing Group,Hardcover,336,2021,2021,,07/05/21,to-read,to-read (#426),to-read,,,,0,,,0,,,,,
42103309,Classic Computer Science Problems in Python,David Kopec,"Kopec, David",,1617295981,9781617295980,0,3.75,Manning Publications,Paperback,224,2019,,,03/05/21,to-read,to-read (#425),to-read,,,,0,,,0,,,,,
7625855,The Quick Python Book,Naomi R. Ceder,"Ceder, Naomi R.",,193518220X,9781935182207,0,3.86,Manning Publications,Paperback,367,2010,2000,,03/05/21,to-read,to-read (#424),to-read,,,,0,,,0,,,,,
23453112,Modern Romance,Aziz Ansari,"Ansari, Aziz",Eric Klinenberg,1594206279,9781594206276,0,3.81,Penguin Press,Hardcover,279,2015,2015,,28/04/21,to-read,to-read (#423),to-read,,,,0,,,0,,,,,
1618,The Curious Incident of the Dog in the Night-Time,Mark Haddon,"Haddon, Mark",,1400032717,9781400032716,0,3.89,Vintage,Paperback,226,2004,2003,,28/04/21,to-read,to-read (#422),to-read,,,,0,,,0,,,,,
51323365,Solutions and Other Problems,Allie Brosh,"Brosh, Allie",,1982156945,9781982156947,0,4.21,Gallery Books,Hardcover,519,2020,2020,,26/04/21,to-read,to-read (#421),to-read,,,,0,,,0,,,,,
37569338,How to Be a Good Creature: A Memoir in Thirteen Animals,Sy Montgomery,"Montgomery, Sy",Rebecca Green,0544938321,9780544938328,0,4.06,Houghton Mifflin Harcourt,Hardcover,208,2018,2018,,26/04/21,to-read,to-read (#420),to-read,,,,0,,,0,,,,,
46158728,How to Teach Philosophy to Your Dog: Exploring the Big Questions in Life,Anthony McGowan,"McGowan, Anthony",,164313311X,9781643133119,0,3.95,Pegasus Books,Hardcover,336,2020,,,26/04/21,to-read,to-read (#419),to-read,,,,0,,,0,,,,,
100779,Reminiscences of a Stock Operator,Edwin Lefèvre,"Lefèvre, Edwin",Roger Lowenstein,0471770884,9780471770886,0,4.19,Doubleday & Company,Hardcover,308,1923,1923,,25/04/21,to-read,to-read (#418),to-read,,,,0,,,0,,,,,
44061981,Trading: Technical Analysis Masterclass: Master the financial markets,Rolf Schlotmann,"Schlotmann, Rolf",Moritz Czubatinski,,,0,4.25,,Kindle Edition,156,2019,,,25/04/21,to-read,to-read (#417),to-read,,,,0,,,0,,,,,
42187064,"How To Swing Trade: A Beginner’s Guide to Trading Tools, Money Management, Rules, Routines and Strategies of a Swing Trader",Brian Pezim,"Pezim, Brian",Andrew Aziz,,,0,4.2,,Kindle Edition,322,2018,2018,,25/04/21,to-read,to-read (#416),to-read,,,,0,,,0,,,,,
43549443,Under the Whispering Door,T.J. Klune,"Klune, T.J.",Kirt Graves,1250790166,9781250790163,0,4.55,Macmillan Audio,Audiobook,,2021,2021,,24/04/21,to-read,to-read (#415),to-read,,,,0,,,0,,,,,
9717,The Unbearable Lightness of Being,Milan Kundera,"Kundera, Milan",Michael Henry Heim,0571224385,9780571224388,5,4.1,Harper Perennial,Paperback,320,2009,1984,23/04/21,14/11/20,,,read,"Gentle Reminder: This is not a review. Also, in these unprecedented times don't venture out of your home. Take a book and get lost in the world the writer has created for you only to find yourself in a different color. Remember, for the time being, <i>a person who longs to leave the place where he lives is an unhappy person.</i><br/> <br/>There is a kind of goodness that's too mystical to capture in words, therefore a book like <b>The Unbearable Lightness of Being</b> is too unbearable to be reviewed; heart speaks only to praise, only to recapture, only to summarize. And when the heart speaks, the mind finds it indecent to object. A normal book will answer a question, but a good book will ask you a question and then show you all possible answers without attempting to persuade you into choosing anyone. Because the good writer knows that there is no correct choice, and the writer also knows: 'Es muss sein' (""It must be"", in German); choices are not free will but rather an inescapable fate. What we have not chosen we cannot consider either our merit or our failure. ""To rebel against being born a woman seemed as foolish to her as to take pride in it"". Or to state it conversely, we all get to choose our sufferings but suffer we must.<br/> <br/>The premise of this book is veiled behind the question, what shall we choose? Weight or lightness? Through Tomas — a womanizer who lives for his work, his wife Tereza, his mistress Sabina, Sabina's lover Franz, and Karenin — the dog of Tomas and Tereza, the writer investigates what it means to choose either of weight or lightness. And why shall humans be reduced to imagination and fiction to learn the answer to binary questions like that? Why should one read a novel to answer such a simple but hard question? The writer answers: <i>There is no means to test which decision is better, because there is no basis for comparison. And what can life be worth if the first rehearsal for life is life itself? Any schoolboy can do experiments in the physics laboratory to test various scientific hypotheses. But man, because he has only one life to live, cannot conduct experiments to test whether to follow his passion or not.</i><br/> <br/>If we choose the weight, then the writer argues that the heaviness of the burden can crush us by pinning us to the ground. We sink beneath the burden. And yet the heaviest of burden is simultaneously an image of life's most intense fulfillment. <i>The heavier the burden, the closer our lives come to the earth, the more real and truthful they become. Conversely, the absolute absence of a burden causes man to be lighter than air, to soar into heights, take leave of the earth and his earthly beings, and become only half real, his movements as free as they are insignificant. We believe that the greatness of man sterns from the fact that he bears his fate as Atlas bore the heavens on his shoulders.</i> <br/> <br/>If we choose lightness, then the writer argues that <i>history is as light as individual human life, unbearable light, light as feather, as dust swirling into the air, as whatever will no longer exist tomorrow. What happened but once might as well not have happened at all. If we have only one life to live, we might as well not have lived at all.</i> <br/><br/>Franz denounces his wife, his entire public life behind to spend the rest of his days with Sabina. On waking up the next day he finds out that Sabina has left him for she cannot be pinned to the burden of being with someone in both her public and private life. She had always chosen lightness. The writer captures the plight of Franz with: <i>She had left a man because she felt like leaving him. Had he persecuted her? Had he tried to take revenge on her? No. Her drama was a drama not of heaviness. What fell to her lot was not the burden but the unbearable lightness of being.</i> <br/> <br/>One day when Tomas returns from work he finds that Tereza has left for Prague, leaving him behind in Zurich all alone: <i>For seven years he had lived bound to her, his every step subject to her scrutiny. She might as well have chained iron balls to his ankles. Suddenly his step was much lighter. He soared. He was enjoying the sweet lightness of being.</i> <br/> <br/>The writer paints the relationship of Tomas and Tereza with this beautiful prose:<br/><blockquote><br/>In spite of their love, they had made each other’s life a hell. The fact that they loved each other was merely proof that the fault lay not in themselves, in their behavior or inconstancy of feeling, but rather in their incompatibility: he was strong (lightness) and she was weak (weight). She was like Dubcek, who made a thirty-second pause in the middle of a sentence; she was like her country (Czech), which stuttered, gasped for breath, could not speak. <br/> <br/>But when the strong were too weak to hurt the weak, the weak had to be strong enough to leave.</blockquote><br/>One of my favorite parts of the book is called: <b>A Short Dictionary of Misunderstood Words.</b> The writer explains how seemingly common words bear different meanings for Sabina and Franz. We understand things from where we come from, probably that is what the writer was trying to portray; that we see the world based on our choice for weight or lightness. Sabina chooses lightness, and Franz chooses the weight. Now to say that the characters of the novel made these choices on their own may not be correct.<br/><blockquote><br/>The characters in my novel are my own unrealized possibilities. That is why I am equally fond of them all and equally horrified by them. Each one has crossed a border that I myself have circumvented. It is that crossed border (the border beyond which my own ""I"" ends) which attracts me most. For beyond that border begins the secret the novel asks about. The novel is not the author's confession; it is an investigation of human life in the trap the world has become.<br/></blockquote><br/>Light and Darkness<br/><blockquote><br/>Living for Sabina meant seeing. Seeing is limited by two borders: strong light, which blinds, and total darkness. Perhaps that was what motivated Sabina's distaste for all extremism. Extremes mean borders beyond which life ends, and a passion for extremism, in art and in politics, is veiled longing for death.<br/> <br/>Darkness attracted Franz as much as light. Darkness was pure, perfect, thoughtless, visionless; the darkness was without end, without borders; the darkness was the infinite we carry within us. (Yes, if you're looking for infinity, just close your eyes!)<br/> <br/>But for Sabina, darkness did not mean infinity; for her, it meant disagreement with what she saw, the negation of what was seen, the refusal to see.<br/></blockquote><br/>Living in Truth<br/><blockquote><br/>What does it mean to live in truth? Putting it negatively is easy enough: it means not lying, not hiding, and not dissimulating.<br/> <br/>Sabina despised literature in which people give away all kinds of intimate secrets about themselves and their friends. A man who loses his privacy loses everything. And a man who gives it up of his own free will is a monster. That is why Sabina did not suffer in the least form having to keep her love secret. On the contrary, only by doing so could she live in truth.<br/> <br/>For Franz, living in truth meant breaking down the barrier between the private and the public. He was certain that the division of life into private and public spheres is the source of all lies.<br/></blockquote><br/> <i>Perhaps if they had stayed together longer, Sabina and Franz would have begun to understand the words they used. Gradually, timorously, their vocabularies would have come together, like bashful lovers, and the music of one would have begun to intersect with the music of other. But it was too late now.</i><br/> <br/>In the part called Grand March, the writer introduces us to Kitsch. A German word that today in English means something of a poor taste because of excessive garishness or sentimentality. The writer defines the term a little differently: Kitsch is the absolute denial of shit, in both the literal and the figurative senses of the word; kitsch excludes everything from its purview which is essentially unacceptable in human existence.<br/> <br/>The writer begins by attacking the literal shit: <i>The daily defecation session is daily proof of the unacceptability of Creation. Either/or: either shit is acceptable (in which case don't lock yourself in the bathroom!) or we are created in an unacceptable manner.</i> And then swiftly moves to the figurative shit: <i>Kitsch is the aesthetic ideal of all politicians and all political parties and movements.</i> This is one of his scintillating qualities, to discuss an idea in one dimension, and then apply it over a story stretching on geography and timeframes. At the beginning of the part, you'd wonder why is he talking about it, but by the time you reach the end of the part you'd bite your nails in astonishment.<br/><br/>With Kitsch, Kundera mocks Soviet society. Soviet society has made such progress that the basic conflict was no longer between good and evil but between good and better. The greatest conflict that could occur between two Russians was a lovers' misunderstanding; he thought she no longer loved her. But in the final scene, they would fall into each other's arms, tears of happiness trickling down their cheeks.<br/> <br/>There is another interesting prose which I just cannot resist sharing.<br/><blockquote><br/>We all need someone to look at us. We can be divided into four categories according to the kind of look we wish to live under. <br/> <br/>The first category longs for the look of an infinite number of anonymous eyes, in other words, for the look of the public. <br/> <br/>The second category is made up of people who have a vital need to be looked at by many known eyes. They are the tireless hosts of cocktail parties and dinners. They are happier than the people in the first category, who, when they lose their public, have the feeling that the lights have gone out in the room of their lives. This happens to nearly all of them sooner or later. People in the second category, on the other hand, can always come up with the eyes they need.<br/> <br/>Then there is the third category, the category of people who need to be constantly before the eyes of the person they love. Their situation is as dangerous as the situation of people in the first category. One day the eyes of their beloved will close, and the room will go dark.<br/> <br/>And finally, there is the fourth category, the rarest, the category of people who live in the imaginary eyes of people who are not present. They are dreamers.<br/></blockquote><br/>Karenin is the dog of Tomas and Tereza. Tomas brings Karenin home so that Tereza would have someone to love when he would be away. Although Karenin is a female dog, she had been named after the husband of Anna Karenina (Leo Tolstoy's book, In Tereza's eyes, books were the emblems of a secret brotherhood). Karenin later develops cancer, and on her deathbed she unites Tomas and Tereza with her smile, reminding each of them, what they have left behind to be in each other's company. Tomas has abandoned his obsession with womanizing and work and discovered that true happiness with Tereza. Tereza had learned what does it mean to love selflessly. <i>It is completely selfless love: Tereza did not want anything of Karenin; she did not ever ask him to lover her back. Nor had she ever asked herself the questions that plague human couples: Does he love me? Does he love anyone more than me? Does he love me more than I love him? Perhaps all the questions we ask of love, to measure, test, probe, and save it, have the additional effect of cutting it short. Perhaps the reason we are unable to love is that we yearn to be loved, that is, we demand something (love) from our partner instead of delivering ourselves up to him demand-free and asking for nothing but his company.”</i><br/><br/>Read Milan Kundera's The Unbearable Lightness of Being at your own risk.",,,1,,,0,,,,,
32849,"Adrift in the Pacific: Two Years Holiday (Extraordinary Voyages, #32)",Jules Verne,"Verne, Jules",,1410102157,9781410102157,0,4,Fredonia Books (NL),Paperback,300,2003,1888,,20/04/21,to-read,to-read (#414),to-read,,,,0,,,0,,,,,
20342617,Just Mercy: A Story of Justice and Redemption,Bryan Stevenson,"Stevenson, Bryan",,0812994523,9780812994520,0,4.59,Spiegel & Grau,Hardcover,336,2014,2014,,20/04/21,to-read,to-read (#413),to-read,,,,0,,,0,,,,,
551206,Peanuts Treasury,Charles M. Schulz,"Schulz, Charles M.",,1586630687,9781586630683,0,4.59,MetroBooks (NY),Hardcover,256,2000,1968,,20/04/21,to-read,to-read (#412),to-read,,,,0,,,0,,,,,
38746485,Becoming,Michelle Obama,"Obama, Michelle",,,,0,4.52,Crown,Hardcover,426,2018,2018,,20/04/21,to-read,to-read (#411),to-read,,,,0,,,0,,,,,
77727,Calvin and Hobbes (Calvin and Hobbes #1),Bill Watterson,"Watterson, Bill",G.B. Trudeau,0836220889,9780836220889,0,4.6,Andrews McMeel Publishing,Paperback,128,1987,1987,,20/04/21,to-read,to-read (#410),to-read,,,,0,,,0,,,,,
