Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
37822513,Dreamers: How Young Indians Are Changing Their World,Snigdha Poonam,"Poonam, Snigdha",,0670087572,9780670087570,0,4.1,Viking,Hardcover,256,,2018,,21/09/20,to-read,to-read (#229),to-read,,,,0,,,0,,,,,
29056083,"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",John Tiffany,"Tiffany, John","Jack Thorne, J.K. Rowling",0751565350,9780751565355,0,3.58,"Little, Brown",Hardcover,343,2016,2016,,17/09/20,to-read,to-read (#228),to-read,,,,0,,,0,,,,,
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,,,0,4.62,Arthur A. Levine Books,Hardcover,759,2007,2007,,17/09/20,to-read,to-read (#227),to-read,,,,0,,,0,,,,,
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,,,0,4.57,Scholastic Inc.,Paperback,652,2006,2005,,17/09/20,to-read,to-read (#226),to-read,,,,0,,,0,,,,,
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,,,0,4.5,Scholastic Inc.,Paperback,870,2004,2003,,17/09/20,to-read,to-read (#225),to-read,,,,0,,,0,,,,,
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,,,0,4.56,Scholastic,Paperback,734,2002,2000,,17/09/20,to-read,to-read (#224),to-read,,,,0,,,0,,,,,
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,043965548X,9780439655484,0,4.57,Scholastic Inc.,Mass Market Paperback,435,2004,1999,,17/09/20,to-read,to-read (#223),to-read,,,,0,,,0,,,,,
42771901,How to Do Nothing: Resisting the Attention Economy,Jenny Odell,"Odell, Jenny",,1612197493,9781612197494,0,3.79,Melville House,Hardcover,225,2019,2019,,14/09/20,to-read,to-read (#222),to-read,,,,0,,,0,,,,,
6678,"Going Solo (Roald Dahl's Autobiography, #2)",Roald Dahl,"Dahl, Roald",Quentin Blake,0141311428,9780141311425,5,4.01,Puffin,Paperback,209,2001,1986,14/09/20,11/09/20,,,read,"<b>The adventure of a lifetime / or two but in few years.</b><br/><br/>Someone important had said that Fredrik Backman is Roald Dahl of our generation and that moment I knew that I have to read Roald. The first book was Boy: Tales of Childhood. The second book was this: Going Solo. And the gentleman, Dahl, has lived one hell of a life. <br/><br/>This book starts with Roald starting of a new journey after graduating from school. He is going to East Africa, to Dar es Salaam. He'll be an oil man, working for Shell Oil Company (more reasons why I relate to him). There he shares his adventures with Mambas (deadliest snakes in Africa) and Simba (lion in Swahili). And how peculiar it is for an Englishman to live in a place like that. The war soon breaks out and he has to join the RAF to fight against Bwana Hitler of Germani. He learns how to fly a fighter plane. He crashes his plane, and almost dies. Imagine we could have lost the soul who gave us <i>Charlie and the Chocolate Factory</i>. He shoots down enemy planes. While most of the pilots who joined the RAF with him were killed in action, even his good friend David Coke, he survived. And then he goes back to home, and falls in the arms of his mother, to whom he wrote letters as frequently as possible. She had lost all hopes that she'd ever be able to see her Roald again. <br/><br/>Here is an anecdote from the book from the time he crashed his plane, and barely survived. It shivers my spine when I think about it. The difference in life and death is always few lucky inches.     <br/><br/><blockquote>It seemed to me that I had been permanently blinded, and as I lay there in my quiet black room where all sounds, however tiny, had suddenly become twice as loud, I had plenty of time to think about what total blindness would mean in the future. Curiously enough, it did not frighten me. It did not even depress me. In a world where war was all around me and where I had ridden in dangerous little aeroplanes that roared and zoomed and crashed and caught fire, blindness, not to mention life itself, was no longer too important. I was already beginning to realize that the only way to conduct oneself in a situation where bombs rained down and bullets whizzed past, was to accept the dangers and all the consequences as calmly as possible. Fretting and sweating about it all was not going to help.</blockquote><br/><br/>Now despite facing death so closely, it's remarkable what Roald has to say about his time. <i>“What a fortunate fellow I am, I kept telling myself. Nobody has ever had such a lovely time as this!”</i>.<br/><br/>I wonder sometimes, does all the art in the world is a mask for the pain that a human has endured, and survived. Is art is to pain what lamp is to darkness? I do not surely know, what I do know is that <i>“a life is made up of a great number of small incidents and a small number of great ones.”</i> and Roald has lived one hell of a life.",,,1,,,0,,,,,
43474837,Paul McCartney : Many Years From Now - Les Beatles Les Sixties Et Moi,Barry Miles,"Miles, Barry",Paul McCartney,2080687255,9782080687258,0,4.16,Flammarion ,Paperback,699,2004,1997,,13/09/20,to-read,to-read (#221),to-read,,,,0,,,0,,,,,
41461127,A Bite in the Night,Julian Gough,"Gough, Julian",Jim Field,1444938185,9781444938180,0,4.39,Hodder Children's Books,Hardcover,112,2019,2019,,13/09/20,to-read,to-read (#220),to-read,,,,0,,,0,,,,,
37548157,Attack of the Snack,Julian Gough,"Gough, Julian",Jim Field,,,0,4.23,Hodder Children's Books,Kindle Edition,112,2018,2018,,13/09/20,to-read,to-read (#219),to-read,,,,0,,,0,,,,,
33833864,The Pest in the Nest,Julian Gough,"Gough, Julian",Jim Field,1444934260,9781444934267,0,4.22,Hachette Kids Hodder Children,Hardcover,112,2017,2016,,13/09/20,to-read,to-read (#218),to-read,,,,0,,,0,,,,,
28537964,Rabbit's Bad Habits,Julian Gough,"Gough, Julian",Jim Field,,9781444929317,0,4.05,Hodder Children's Books,Hardcover,112,2016,2016,,13/09/20,to-read,to-read (#217),to-read,,,,0,,,0,,,,,
43708884,"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,"Mackesy, Charlie",,1529105102,9781529105100,5,4.6,Ebury Press,Hardcover,128,2019,2019,07/09/20,19/07/20,,,read,"<blockquote><br/>""Sometimes I think you believe in me more that I do."" said the boy<br/><br/>""You'll catch up."" said the horse.<br/></blockquote><br/><br/>What is this cute little thing about? Glad you asked. <br/><br/>It's about friendship, and love, and kindness, and hope, and dreams, and fears, and feeling lost, and forgiveness, and doing nothing, and longing for home, and asking for help, but most importantly about cakes.<br/><br/><blockquote><br/>""We have such a long way to go."" sighed the boy.<br/><br/>""Yes, but look how far we've come."" said the horse.<br/></blockquote><br/><br/>P.S. Thank you so much Simran for shoving it into my hands. :D",,,1,,,0,,,,,
4979,A Man Without a Country,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",Daniel Simon,081297736X,9780812977363,5,4.07,Random House Trade Paperbacks,Paperback,160,2007,2005,06/09/20,04/02/19,,,read,"'If this isn't nice, I don't know what is.'",,,1,,,0,,,,,
37976541,Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,"Carreyrou, John",,152473165X,9781524731656,5,4.39,Knopf Publishing Group,Hardcover,339,2018,2018,05/09/20,19/07/20,,,read,Gut wrenching story of a startup that promised pounds and delivered pennies and lies. It is scary but a very gripping book.   ,,,1,,,0,,,,,
1430,Eleven Minutes,Paulo Coelho,"Coelho, Paulo",Margaret Jull Costa,0060589280,9780060589288,0,3.7,HarperOne,Paperback,273,2003,2003,,05/09/20,to-read,to-read (#216),to-read,,,,0,,,0,,,,,
37888454,Sebastian and the Troll,Fredrik Backman,"Backman, Fredrik",Vanja Vinter,,,5,4.28,,ebook,7,2018,2017,,23/08/20,,,read,,,,1,,,0,,,,,
13214,"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,"Angelou, Maya",,0553279378,9780553279375,3,4.25,Bantam Books,Paperback,289,1993,1969,12/08/20,30/06/20,,,read,,,,1,,,0,,,,,
40961427,1984,George Orwell,"Orwell, George",,,,0,4.19,Houghton Mifflin Harcourt,Kindle Edition,298,2013,1949,,02/08/20,to-read,to-read (#215),to-read,,,,0,,,0,,,,,
9648,Keep the Aspidistra Flying,George Orwell,"Orwell, George",,0141183721,9780141183725,0,3.89,Penguin Books Ltd,Paperback,277,2000,1936,,02/08/20,to-read,to-read (#214),to-read,,,,0,,,0,,,,,
